"doc_id","text"
"1130309271013535744","Friend: what did you think of the #GameOfThrones<U+00A0> finale?
Me: https://t.co/X4djleWQyz"
"1130309218169434113","Wow (and not in a good way). #GameofThrones"
"1130309270996639744","What a shot.....

#GameOfThrones https://t.co/Ri1ke9vZEC"
"1130309270971535362","Salt Queen, a dark comedy about the sarcastic, Sapphic Iron Islands first queen who is done with y'all's shit. #gameofthrones #gotspinoffs"
"1130309270958989320","I<U+2019>m getting that Dexter feeling back.  #GameOfThrones"
"1130309270942212097","the progression of drogon with his mother. i<U+2019>m so heartbroken. #gameofthrones https://t.co/mQzWio4gZw"
"1130309270933843969","Pido disculpas a los que les hice ver la serie. #GameofThrones https://t.co/eFoflOMaxM"
"1130309270912815106","Somebody gotta dub the Moesha dear diary music over that scene of Brienne's dizzy ass writing in that book. #GameofThrones"
"1130309270862483456","Me cogi<U+00F3> y se fue a la mierda. 

#GameOfThrones https://t.co/eyyGNtDSuL"
"1130309270858272769","Jon: *pets Ghost*

Literally everyone: 

#GameOfThrones https://t.co/fJHyhB8YeR"
"1130309270820593664","Samwell Tarly: Democracy....

Lords and Ladies of Westeros: #GameOfThrones https://t.co/Kt4bklVtCC"
"1130309270803759104","Why y<U+2019>all do this season like this @GameOfThrones 8 seasons and u make dany go out like that wtf!?"
"1130309270795431936","#GameOfThronesFinale #GameOfThrones El norte sera un Reino independiente y Sansa ser<U+00E1> su reina 
Sansa: https://t.co/uoQNMCKx5V"
"1130309270719913985","O que aconteceu com o cavalo? #gameofthrones"
"1130309270690508801","Me trying to figure out what the need of the Nights Watch is now
#GameOfThrones<U+00A0> 
#GameOfThronesFinale https://t.co/Y14gYZIvFD"
"1130309270648438785","Tanto que odi<U+00E1>bamos a Sansa, y al final fue la <U+00FA>nica que en verdad aprendi<U+00F3> a jugar el Juego de Tronos: mantuvo al norte unido, reafirm<U+00F3> su independencia y obtuvo la corona que siempre quiso.
#GameOfThrones https://t.co/4Z0F26KFw7"
"1130309270636048385","<U+201C>A veces el deber es la muerte del amor<U+201D> #GameofThrones https://t.co/PZKifpu6gM"
"1130309270560563200","Bran rolling up on the Iron Throne.

 #GameOfThrones https://t.co/zKRqpjXzVR"
"1130309270526865408","I actually can<U+2019>t believe Game of Thrones ends tonight.

It<U+2019>s been incredible watching and reacting alongside the rest of the world. The absolute biggest show of our generation.

I<U+2019>m going to miss it. #GameofThrones"
"1130309270505893888","I<U+2019>m like fine with it #GameofThrones https://t.co/3kufHyRTdB https://t.co/mUggX0k55t"
"1130309270505869313","Daenerys, cersei e margaery no inferno sabendo que foram as mulheres mais memor<U+00E1>veis de toda westeros #GameOfThrones https://t.co/MTUnlufP1S"
"1130309270438895617","Post credit scene
#GameOfThronesFinale 
#GameOfThrones https://t.co/QTio0XByKI"
"1130309270413516801","started watching got in 2013 and sure there<U+2019>s been some letdowns but the attachment to the show and its characters is still too strong <U+0001F97A> probably why i kept crying during the finale <U+2620><U+FE0F> i will miss u thank u <U+2639><U+FE0F> @GameOfThrones"
"1130309270396985344","El <U+00FA>nico momento bueno fue cuando Sansa  tira ese ""C<U+00E1>llese viejo lesbiano"" #got #GameOfThronesFinale #GameOfThrones"
"1130309270396735488","Jamie Lannister is the nastiest skank bitch I have ever met. Do not trust him, he is a fugly slut. #GameofThrones #GOT https://t.co/N4I3XvBeBy"
"1130309270384177152","Either way, Thanks @GameOfThrones for a good amount of years of giving us great characters, bad ass direwolves, backstabbing, schemes, zombies, dragons, and stunning cinematography. #OurWatchHasEnded"
"1130309270367604736","Cuando te sacas 10 en el trabajo sin haber hecho nada #GameOfThrones https://t.co/sUH9icFnnq"
"1130309270355021824","Gendry going after Arya<U+2019>s ship like  #GameofThrones https://t.co/Z9zwONsqGn"
"1130309270346575872","Quem iria imaginar que a Arya era na verdade o Crist<U+00F3>v<U+00E3>o Colombo #GameOfThrones https://t.co/kcS6ji8je0"
"1130309270342385665","Not to exaggerate but this is the greatest shot in the entire series. #GameOfThrones  https://t.co/9HMz4FfdBx"
"1130309270317088768","Pudo m<U+00E1>s  su deber que el amor a su reina <U+0001F494>
#GameOfThrones https://t.co/FsjCI2k82J"
"1130309270258442240","Jamie Lannister is the nastiest skank bitch I have ever met. Do not trust him, he is a fugly slut. #GameofThrones #GOT https://t.co/N4I3XvBeBy"
"1130309270225002502","#GameOfThrones Jon Snow - you deserved better. https://t.co/o5JQAqSKES"
"1130309270162026496","O final de GOT conseguiu ser pior do que o final da Caverna do Drag<U+00E3>o, que nunca existiu  #GameOfThrones"
"1130309270141063168","Para mim a s<U+00E9>rie acabou aqui <U+00E9> o resto foi um del<U+00ED>rio coletivo #GameOfThronesFinale #GameofThrones https://t.co/0rzyS3XiqK"
"1130309270136922112","Definitely know for a fact Game of Thrones is fake because how did Robyn live this long when his mom had anti-vaxxer energy #GameofThrones https://t.co/da7Zp9bKPB"
"1130309205381062656","He didn<U+2019>t kill Jon because he didn<U+2019>t blame Jon,he blamed the iron throne. Drogon knew that the throne killed his mother. That scene was heartbreaking and perfect. He finished his mother<U+2019>s wishes and broke the wheel. #GameOfThrones 
https://t.co/N84awCX3fS"
"1130309270057181184","#GameofThrones #TheFinalEpisode #GameOfThronesFinale #GOTFinale https://t.co/OKWbgkpczU"
"1130309270052966401","That first hour was some TOP TIER quality. Don<U+2019>t deny it. #TheFinalEpisode #GameOfThrones"
"1130309270032003073","Y ahora que? #GameOfThrones #GOT https://t.co/JhG9hQ8R4q"
"1130309270019424256","Drogon teve a consci<U+00EA>ncia de que a busca pelo poder causou a morte da Daenerys 

Drogon se manteve com a pata no ch<U+00E3>o quando ningu<U+00E9>m mais estava, reizinho #GameOfThrones https://t.co/NPccap6cdH"
"1130309269956354048","Bran getting elected as King of Westeros over Sansa feels like the 2016 election all over again. She was robbed! #GameofThrones https://t.co/LywNn2islx"
"1130309269952372736","@WhatsOnDavidsTV @GameOfThrones Yeah it was perfect in my eyes as well. Anyone else says otherwise don't know a good story from a bad one."
"1130309269952356353","Drogon is the real MVP of #GameOfThrones Burns that shit to the ground because if Dany couldn't have it, no one should. It was a relic that drove both men and women crazy, and was the true killer of his mom. https://t.co/MKTFl900pL"
"1130309241301020673","Cuando lo <U+00FA>nico qu<U+00E9> haces en todas las temporadas es nada y te quedas con el trono #GameOfThrones https://t.co/xO8PCsBdHK"
"1130309269927223296","los editores de #GameofThrones poniendo a Jon pas<U+00E1>ndole la mano a Ghost de <U+00FA>ltimo minuto pa que nos callemos la boca ya https://t.co/klVdPHTdkJ"
"1130309269914566657","<U+201C>Jaime Lannister is the nastiest skank bitch I<U+2019>ve ever met. DO NOT TRUST HIM. He is a fugly slut!<U+201D> #GameOfThronesFinale #DemThrones #GameOfThrones https://t.co/Fv4i1c0DBj"
"1130309269897850881","me explaining to my children the greatest downfall in television history #GameOfThrones https://t.co/czrxmoPtnN"
"1130309205737508864","THIS IS GREAT CHARACTER DEVELOPMENT #GameOfThrones https://t.co/qcBSYOF7gy"
"1130309269839126528","MEU FINAL: Gost contando ao Jon Snow:
 - Daenerys t<U+00E1> vindo agora como a Rainha DA Noite e vai a-ca-bar com sua ra<U+00E7>a seu cretino. #got #GameOfThrones
#GameOfThronesFinale https://t.co/SFG0GJRAQe"
"1130309269830721536","Jaime sucks in bed and sleeps with his bitch ass sister #GameOfThrones https://t.co/7y52WajKk7"
"1130309269826539520","Titty milk does a body good: #GameofThrones https://t.co/HokHyrQm8N"
"1130309269809704961","Can we take a moment to appreciate this best shot!
#GameofThrones #GameOfThronesFinale https://t.co/chX4i0Knib"
"1130309269805510656","this is actually cinematic excellence at its finest though #GameOfThrones https://t.co/WEGUk4X6FG"
"1130309269797167104","A quien prefieres ver en el Iron Throne?
RT- El buen esdemamador
Like- El Stephen Hawkings de Westeros
#GameOfThrones https://t.co/Rv0Ku1whe0"
"1130309269792972800","Robin Arryn straight up longbottomed us  #GameOfThrones https://t.co/hhFQYGq5Ir"
"1130309269788737536","IT'S OVER. IT'S FINALLY OVER. #GameOfThrones #GameOfThronesFinale https://t.co/IQGJnQ9ghM"
"1130309269788581888","Sam: Democracy?

Westeros council: 

#GameOfThrones https://t.co/Y7U3lktbQa"
"1130309269784600578","This man is the nastiest skank bitch I've ever met. Do not trust him. He is a fugly slut: #GameofThrones https://t.co/a6Pmoykpsi"
"1130309269784596482","THE BEST SHOT GOES TO:
#GameOfThrones https://t.co/oossECVhXM"
"1130309269767839744","#GameOfThrones https://t.co/uk93AO9yRx"
"1130309269751050240","Voc<U+00EA>s iriam reclamar de QUALQUER final que fisse. Eu amei <U+0001F60D> O importante <U+00E9> que Jon voltou pra Ghost #GameOfThronesFinale #GameofThrones"
"1130309269746794496","and now our watch has ended #GameOfThrones"
"1130309269721534464","A Targaryan alone in the world is a terrible thing 
#TheFinalEpisode
#GameOfThrones https://t.co/do3KllxHRG"
"1130309269713248256","The best part of #GameofThrones ending will be not having to see that stupid ""good horse drawing turns childish"" joke that 10,000 different people have tweeted pretending they came up with it."
"1130309269709107200","The ending I think we all truly wanted to see #GameOfThrones https://t.co/NAmF36lWo7"
"1130309269667110913","8 seasons.
73 episodes.
Countless cast and crew members.

The show that defined the decade. Thank you #GameOfThrones https://t.co/Gewgp4ySA0"
"1130309269650194432","Meanwhile in Meereen #GameOfThrones https://t.co/zmJaOKWvqz"
"1130309269637742592","Babas<U+0131> Targaryen annesi Stark bu Jon kime <U+00E7>ekmi<U+015F> <U+00E7>ekmez olas<U+0131>ca hevesimiz kursa<U+011F><U+0131>m<U+0131>zda kald<U+0131>. #GameOfThrones<U+00A0>  #GameOfThronesFinale"
"1130309269633601537","#GameOfThrones when the finale was more pathetic than the final season. https://t.co/fqt80Jt7az"
"1130309269633536001","To the writters of 
Games for Thrones...

Thank you, an Amazing story the we follow for many years.

and for the last Season...
a Big F&amp;$@ YOU.... <U+0001F595>
You guys destroy the hole thing.
Literally i felt like this pic...
#GameofThrones https://t.co/zoRBQiWQGc"
"1130309269608255488","Sansa a few years later #GAMEOFTHRONES https://t.co/KaGGMWQ84M"
"1130309245193183235","All hail Bran the Broken, First of His Name, King of the Andals and the First Men, Lord of the Six Kingdoms, and Protector of the Realm #GameofThrones

<U+FFFC>

#GOTFinale https://t.co/8dESddKYGQ"
"1130309219318607873","When gendry hears Arya is going west #GameofThrones https://t.co/EW5ryh58So"
"1130309269583290374","@GameOfThrones Just drove 40min to get home from watching the final episode. Still fuming....sick day tomorrow?  Jk, boss...but it doesn<U+2019>t change how I feel.   Maybe they will give us an alternate ending like on <U+201C>I am Legend<U+201D>, please!!!!"
"1130309269574881280","Sansa just out here dropping bombs tonight. #GameOfThrones https://t.co/NoanECiqGZ"
"1130309269520289792","Can we talk about how the craziest part of tonight's episode was seeing Robin Aryn's glow-up?? #GameOfThrones https://t.co/XdGnbQJ2mY"
"1130309269507719168","Sem duvidas a melhor cena, ate porque as minhas teorias sobre o restante se concretizaram #GameOfThrones https://t.co/LfodBpCw6J"
"1130309269490937858","Ghost viendo como vuelve el perro arrepentido #GameOfThrones https://t.co/IaJjzqW5jT"
"1130309269478346756","La mejor escena del final de #GameOfThrones es Tyrion descubriendo a sus hermanos del escombro. 

Que drag<U+00F3>n ni que alas, weones pavos."
"1130309269440606208","Okay, but this shot tho #GameOfThrones https://t.co/yarRzpgal1"
"1130309269411250181","Drogon al ver a su mami.
#GameofThrones https://t.co/E9j8d2YyvX"
"1130309269344129025","Don<U+2019>t worry guys! They making a new chair!  #GameOfThrones https://t.co/ZAa8piAHQY"
"1130309269319036934","de acordo com a fonte ""eu"" o final da s<U+00E9>rie foi esse #gameofthronesfinale #gameofthrones  https://t.co/kyQGh8EXHk"
"1130309269306466305","What a shot.....

#GameOfThrones https://t.co/Ri1ke9vZEC"
"1130309269302194176","It was always their show. <U+0001F43A>#GameofThrones https://t.co/j8USfahPWQ"
"1130309220803448833","8 seasons.
73 episodes.
Countless cast and crew members.

The show that defined the decade. Thank you #GameOfThrones https://t.co/Gewgp4ySA0"
"1130309269272768512","That glow up!!!! Omfg!! #GameOfThrones https://t.co/GhggffjEgw"
"1130309269264510977","#GameOfThrones is the GOAT show of television <U+0001F64C><U+0001F525><U+0001F432><U+2744><U+FE0F><U+0001F43A><U+2694><U+FE0F><U+0001F981><U+0001F451><U+0001F5E1><U+FE0F><U+0001F622>

If you don't agree, Valar Morghulis. https://t.co/d5fjUh3GKT"
"1130309269251919873","Quiet in the realm.

#TheFinalEpisode is here. #GameofThrones https://t.co/HKMWjdPEUx"
"1130309269243535361","Minhas expectativas tavam baixas mas MEU DEUS #GameofThrones"
"1130309249299566592","foi MUITO PIOR do que eu esperava #GameOfThrones"
"1130309269184831488","Everyone cancelling their HBO submissions rn 
Dragons
#GameOfThornes 
#GameOfThrones<U+00A0> 
#GameofThronesFinale https://t.co/7r3KyRFPC4"
"1130309269184753665","El final de #Gameofthrones fue muy justo, a mi me encant<U+00F3>... no es culpa mia que ustedes no entiendan la serie y les parezca una cagada."
"1130309269184585729","Comparte este Bran de la suerte para triunfar en la vida sin hacer una mierda #GameOfThrones https://t.co/rLxTtJQWSI"
"1130309269109133313","Bran Stark watching everybody die &amp; argue for years knowing it was paving his way to the throne. 

#GameOfThrones #GoT #DemThrones 

https://t.co/wXWxEfEGjA"
